ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
0.8 MM Tip,MT,,Assemblings,Assembling11,Kg,
1/2'' 2 Coil,1/2C,,Fabrication,Fabrication,Kg,
25 Gurmoth,25   GRMT,Consumable,Assemblings,Assembling11,Kg,
25 Gurmoth First,25 Gurmoth First,Assets,Assemblings,Assembling11,Per,
38 Gurmoth,38 Gurmoth,Consumable,Assemblings,Assembling11,Kg,
4'' Angle Grinder G10,AG10,,Assemblings,Assembling11,Kg,
4'' Angle Grinder M100,AM100Grinder,,Assemblings,Assembling11,Kg,
5 Ply Box Big,5P,,Assemblings,Assembling11,Per,
5 Ply Box Small,PBS,,Assemblings,Assembling11,Per,
5 series,12345,Assets,samsung,tv,Per,
530 MM Brake Rod,530BR,Consumable,Assemblings,Assembling11,Kg,
6 series,12131,Finished Good,samsung,tv,Per,
8 series,12341,Finished Good,samsung,tv,Per,
abcdef,21,Assets,Assemblings,Assembling11,Per,
Acceleator,ACLTR,Consumable,Assemblings,Assembling11,Kg,
Air Bubbles Roll,ABRO,,Dispatch,Dispatch,Kg,
ALLOY WHEEL,AW,Ready to Fit,Assemblings,Assembling11,Per,
ALUMINIUM SHEET,ASHE,,Fabrication,Fabrication,Kg,
,,,,,,
