ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
Back indicator RH With RR Bulb Victory,TARB,Ready to Fit,Assembling,Assembling,Pcs,0
Brake Yoke RH,BYR,Ready to Fit,Assembling,Assembling,Pcs,10
Front Drum Bearing,FD Bearing,Ready to Fit,Assembling,Assembling,Set,12
Wind Shield Glass,WSG,Ready to Fit,Assembling,Assembling,Pcs,12
Silicon Spray,SS,Consumable,Assembling,Assembling,Pcs,15
Center Lock,CL,Ready to Fit,Assembling,Assembling,Pcs,19
Front Comb Lamp LH Victory,FCLL,Ready to Fit,Assembling,Assembling,Pcs,24
Gear 18 Teeth,GT,Ready to Fit,Assembling,Assembling,Set,24
Drum Girari,DG,Ready to Fit,Assembling,Assembling,Set,30
Rear Drum,RD,Ready to Fit,Assembling,Assembling,Pcs,30
Tool Kit,TK,Ready to Fit,Assembling,Assembling,Set,31
Front Comb Lamp RH Victory,FCLR,Ready to Fit,Assembling,Assembling,Pcs,32
Kamani Sumfonl,KAMIS,Finished Good,Assembling,Assembling,Pcs,32
Meter,MTR,Ready to Fit,Assembling,Assembling,Pcs,35
Rear Bearing,RB,Ready to Fit,Assembling,Assembling,Pcs,35
Back indicator LH With RR Bulb Victory,TALR,Ready to Fit,Assembling,Assembling,Pcs,36
On Off Switch,OOS,Ready to Fit,Assembling,Assembling,Pcs,39
Rickshaw Battery,Battery,Ready to Fit,Assembling,Assembling,Pcs,40
Number Plate Stand,NPS,Ready to Fit,Assembling,Assembling,Pcs,52
Roof Light,RLT,Ready to Fit,Assembling,Assembling,Per,53
Fire Cylender,FC,Ready to Fit,Assembling,Assembling,Pcs,68
vijeta kamani,vik001,Ready to Fit,Assembling,Assembling,Per,70
H L Switch With Cover,HLSC,Ready to Fit,Assembling,Assembling,Pcs,72
Taxi Light,TLT,Ready to Fit,Assembling,Assembling,Pcs,74
T- Handle,T- HAN,Ready to Fit,Assembling,Assembling,Pcs,80
T-Plate,TP,Ready to Fit,Assembling,Assembling,Pcs,80
License Light Cover,LLC,Ready to Fit,Assembling,Assembling,Pcs,90
Head Light,HLK,Ready to Fit,Assembling,Assembling,Pcs,93
Front Indicator & Back Glass,FIBG,Ready to Fit,Assembling,Assembling,Set,112
Wiring Set Old Model,WM,Consumable,Assembling,Assembling,Pcs,112
Rim,RIM,Ready to Fit,Assembling,Assembling,Pcs,113
Wiring Set New Model,WN,Consumable,Assembling,Assembling,Pcs,117
HANDLE,H9,Ready to Fit,Assembling,Assembling,Pcs,120
Victory Plate,VP,Ready to Fit,Assembling,Assembling,Pcs,120
Meter Lower Plate,MLP,Ready to Fit,Assembling,Assembling,Pcs,121
Front Drum Assembly,FDA,Ready to Fit,Assembling,Assembling,Pcs,128
Buzzer Flasher,BF,Ready to Fit,Assembling,Assembling,Pcs,138
Charger 15AMP,AC15AMP,Ready to Fit,Assembling,Assembling,Pcs,138
T- Bearing Set,TBS,Ready to Fit,Assembling,Assembling,Pcs,140
Differential Chuk Nut,DEFCNT,Ready to Fit,Assembling,Assembling,Pcs,156
Self Adhesive Tape 3x24,SAT3X24,Consumable,Assembling,Assembling,Pcs,158
Limit Switch,LS,Ready to Fit,Assembling,Assembling,Pcs,164
Front Brake Wire,F Break W,Ready to Fit,Assembling,Assembling,Pcs,190
F.M,FM,Ready to Fit,Assembling,Assembling,Pcs,200
Fogg Light,FLT,Ready to Fit,Assembling,Assembling,Per,209
Brake Rod 1050 MM,1050BR,Ready to Fit,Assembling,Assembling,Pcs,210
Kekra Patti,HLB1,Ready to Fit,Assembling,Assembling,Pcs,212
Front Horn,FH,Ready to Fit,Assembling,Assembling,Pcs,215
Canopy (Roof),CNPY,Ready to Fit,Assembling,Assembling,Pcs,220
Fiber Rod,FRD,Ready to Fit,Assembling,Assembling,Pcs,220
Wheel Cover Big,WCB,Ready to Fit,Assembling,Assembling,Pcs,220
First Aid Kit,FAK,Ready to Fit,Assembling,Assembling,Set,233
Brake Lever,BL,Ready to Fit,Assembling,Assembling,Pcs,234
Gas Kit Roll,GR,Consumable,Assembling,Assembling,Roll,245
Back Horn,BH,Ready to Fit,Assembling,Assembling,Pcs,258
Kamani Victory,KMNIV,Ready to Fit,Assembling,Assembling,Pcs,250
MCB 63A,MCB 63A,Ready to Fit,Assembling,Assembling,Pcs,291
Four Pin Relay,RELAY,Ready to Fit,Assembling,Assembling,Pcs,297
Front Drum Brake Shoe Sets,FDBS,Ready to Fit,Assembling,Assembling,Set,300
Kamani Plate Sumfonl,KPF,Ready to Fit,Assembling,Assembling,Pcs,316
Front Axle Rod,FAR,Ready to Fit,Assembling,Assembling,Pcs,340
Brake Spring,BS,Ready to Fit,Assembling,Assembling,Pcs,350
530 MM Brake Rod,530BR,Ready to Fit,Assembling,Assembling,Pcs,370
Brake Rod 930MM,BR930,Ready to Fit,Assembling,Assembling,Pcs,370
Stapnoy Cover,SC,Ready to Fit,Assembling,Assembling,Pcs,379
Kabze,KZ,Ready to Fit,Assembling,Assembling,Pcs,380
Diferential,Diff.,Ready to Fit,Assembling,Assembling,Pcs,385
Battery Tray,BT,Ready to Fit,Assembling,Assembling,Pcs,400
Balancing Rod,BRO,Ready to Fit,Assembling,Assembling,Pcs,403
Balancing Rod Pin,BRP,Ready to Fit,Assembling,Assembling,Pcs,403
Tube 3.75-12,T3.75,Ready to Fit,Assembling,Assembling,Pcs,416
Yellow Terminal,YT,Ready to Fit,Assembling,Assembling,Pcs,452
Brake Padle Rubber,BPRB,Ready to Fit,Assembling,Assembling,Pcs,454
Meter Wire,MTR Wire,Ready to Fit,Assembling,Assembling,Pcs,462
Side Glass,SG,Ready to Fit,Assembling,Assembling,Pcs,511
Front Indicator Sumfonl,FIL,Ready to Fit,Assembling,Assembling,Pcs,530
Brake Switch,B Switch,Ready to Fit,Assembling,Assembling,Pcs,531
Tyre 90x90-12,T90x90,Ready to Fit,Assembling,Assembling,Pcs,540
Back Glass,BG,Ready to Fit,Assembling,Assembling,Pcs,546
Lupping Wire,LW,Ready to Fit,Assembling,Assembling,Pcs,551
Brake Switch Spring,B Switch Spring,Ready to Fit,Assembling,Assembling,Pcs,587
Back Mudguard Rubber,BMR,Ready to Fit,Assembling,Assembling,Pcs,600
Kamani Plate Victory,KPV,Ready to Fit,Assembling,Assembling,Pcs,641
Front Drum Sidd 15,FDS 15,Ready to Fit,Assembling,Assembling,Set,650
Brake Rod 930 MM,BR 930MM,Ready to Fit,Assembling,Assembling,Pcs,673
Front Mudguard,F Mud,Ready to Fit,Assembling,Assembling,Pcs,679
Brake Rod 610 MM,BR610,Ready to Fit,Assembling,Assembling,Pcs,682
Seat Lock Clamp (Iron),SLCI,Ready to Fit,Assembling,Assembling,Pcs,750
Accelerator,ACLTR,Ready to Fit,Assembling,Assembling,Pcs,800
Front Shocker Legs,F S L,Ready to Fit,Assembling,Assembling,Pcs,800
Front Shocker Spring,FSS,Ready to Fit,Assembling,Assembling,Set,800
