ProductID, Slno, PartNo, PartDescription, CategoryID, CategoryName, SubCategoryID, SubCategoryName, WhereUsed, DTBP, PunePrice, DelhiPrice, DeliveryInWeek, OpeningQuantity, StockQuantity, Unit, UOMName, ReorderPoint, Remark, CreatedBy
0,0,01MAXCLE35,MAXCLEAN -01,17,THERMAX,26,CHEMICALS,BWC,52,0,132,8,0,0,0,Jar,1,,1
0,0,02MAXCLE35,MAXCLEAN -02,17,THERMAX,26,CHEMICALS,BWC,24,0,53,8,0,0,0,Jar,1,,1
0,0,05MAXCLE25,MAXCLEAN -05,17,THERMAX,26,CHEMICALS,BWC,139,0,234,8,0,0,0,Bag,1,,1
0,0,05MAXCLE30,MAXCLEAN -05,17,THERMAX,26,CHEMICALS,BWC,139,0,234,8,0,0,0,Bag,1,,1
0,0,07MAXCLE35,MAXCLEAN -07,17,THERMAX,26,CHEMICALS,BWC,38,0,70,8,0,0,0,Jar,1,,1
0,0,3001MAXG35,MAXGREEN 3001,17,THERMAX,26,CHEMICALS,BWC,65,0,138,8,0,0,0,Jar,1,,1
0,0,3002MAXG35,MAXGREEN 3002,17,THERMAX,26,CHEMICALS,BWC,120,0,236,8,0,0,0,Jar,1,,1
0,0,3100MAXG25,MAXGREEN 3100,17,THERMAX,26,CHEMICALS,BWC,109,0,186,8,0,0,0,Bag,1,,1
0,0,3100MAXG30,MAXGREEN 3100,17,THERMAX,26,CHEMICALS,BWC,109,0,186,8,0,0,0,Bag,1,,1
0,0,3100LMAX35,MAXGREEN 3100 L,17,THERMAX,26,CHEMICALS,BWC,53,0,93,8,0,0,0,Jar,1,,1
0,0,3220SMAX25,MAXGREEN 3220 S,17,THERMAX,26,CHEMICALS,BWC,144,0,243,8,0,0,0,Bag,1,,1
0,0,3220SMAX30,MAXGREEN 3220 S,17,THERMAX,26,CHEMICALS,BWC,144,0,243,8,0,0,0,Bag,1,,1
0,0,3221MAXG35,MAXGREEN 3221,17,THERMAX,26,CHEMICALS,BWC,78,0,134,8,0,0,0,Jar,1,,1
0,0,3222MAXG35,MAXGREEN 3222,17,THERMAX,26,CHEMICALS,BWC,78,0,140,8,0,0,0,Jar,1,,1
0,0,3226MAXG35,MAXGREEN 3226,17,THERMAX,26,CHEMICALS,BWC,43,0,78,8,0,0,0,Jar,1,,1
0,0,3004MAXT35,MAXTREAT 3004,17,THERMAX,26,CHEMICALS,BWC,49,0,87,8,0,0,0,Jar,1,,1
0,0,3005MAXT35,MAXTREAT 3005,17,THERMAX,26,CHEMICALS,BWC,55,0,138,8,0,0,0,Jar,1,,1
0,0,3006MAXT35,MAXTREAT 3006,17,THERMAX,26,CHEMICALS,BWC,65,0,113,8,0,0,0,Jar,1,,1
0,0,3200MAXT35,MAXTREAT 3200,17,THERMAX,26,CHEMICALS,BWC,191,0,320,8,0,0,0,Jar,1,,1
0,0,3223SMAX25,MAXTREAT 3223 S,17,THERMAX,26,CHEMICALS,BWC,95,0,213,8,0,0,0,Bag,1,,1
0,0,3223SRMA25,MAXTREAT 3223 SR,17,THERMAX,26,CHEMICALS,BWC,95,0,188,8,0,0,0,Bag,1,,1
0,0,3235MAXT35,MAXTREAT 3235,17,THERMAX,26,CHEMICALS,BWC,301,0,683,8,0,0,0,Jar,1,,1
0,0,3311MAXT35,MAXTREAT 3311,17,THERMAX,26,CHEMICALS,BWC,198,0,346,8,0,0,0,Jar,1,,1
0,0,3330MAXT35,MAXTREAT 3330,17,THERMAX,26,CHEMICALS,BWC,198,0,348,8,0,0,0,Jar,1,,1
0,0,3330HMAX35,MAXTREAT 3330H,17,THERMAX,26,CHEMICALS,BWC,205,0,342,8,0,0,0,Jar,1,,1
0,0,3333MAXT35,MAXTREAT 3333,17,THERMAX,26,CHEMICALS,BWC,415,0,686,8,0,0,0,Jar,1,,1
0,0,BWCMAXTR25,MAXTREAT BWC,17,THERMAX,26,CHEMICALS,BWC,73,0,153,8,0,0,0,Bag,1,,1
0,0,50MAXQUA35,MAXQUAT 50,17,THERMAX,26,CHEMICALS,CWC,164,0,276,8,0,0,0,Jar,1,,1
0,0,2002MAXT35,MAXTREAT 2002,17,THERMAX,26,CHEMICALS,CWC,232,0,386,8,0,0,0,Jar,1,,1
0,0,2007MAXT35,MAXTREAT 2007,17,THERMAX,26,CHEMICALS,CWC,221,0,177,8,0,0,0,Jar,1,,1
0,0,204MAXTR35,MAXTREAT 204,17,THERMAX,26,CHEMICALS,CWC,95,0,350,8,0,0,0,Jar,1,,1
0,0,2512MAXT35,MAXTREAT 2512,17,THERMAX,26,CHEMICALS,CWC,93,0,161,8,0,0,0,Jar,1,,1
0,0,2521MAXT35,MAXTREAT 2521,17,THERMAX,26,CHEMICALS,CWC,93,0,159,8,0,0,0,Jar,1,,1
0,0,2710MAXT35,MAXTREAT 2710,17,THERMAX,26,CHEMICALS,CWC,95,0,244,8,0,0,0,Jar,1,,1
0,0,2715MAXT35,MAXTREAT 2715,17,THERMAX,26,CHEMICALS,CWC,91,0,220,8,0,0,0,Jar,1,,1
0,0,604MAXTR25,MAXTREAT 604,17,THERMAX,26,CHEMICALS,CWC,160,0,307,8,0,0,0,Bag,1,,1
0,0,605MAXTR35,MAXTREAT 605,17,THERMAX,26,CHEMICALS,CWC,233,0,428,8,0,0,0,Jar,1,,1
